NAME,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,last_review
CLEAN & QUIET APT HOME BY THE PARK,Brooklyn,Kensington,Private room,149,9,19/10/2018
SKYLIT MIDTOWN CASTLE,Manhattan,Midtown,Entire home/apt,225,45,21/05/2019
COSY ENTIRE FLOOR OF BROWNSTONE,Brooklyn,Clinton Hill,Entire home/apt,89,270,05/07/2019
LARGE FURNISHED ROOM NEAR B'WAY ,Manhattan,Murray Hill,Entire home/apt,200,74,22/06/2019
BEAUTIFUL 1BR ON UPPER WEST SIDE,Manhattan,Hell's Kitchen,Private room,79,430,24/06/2019
"LOVELY ROOM 1, GARDEN, BEST AREA, LEGAL RENTAL",Manhattan,Chinatown,Entire home/apt,150,160,09/06/2019
WONDERFUL GUEST BEDROOM IN MANHATTAN FOR SINGLES,Manhattan,Upper West Side,Entire home/apt,135,53,22/06/2019
ONLY 2 STOPS TO MANHATTAN STUDIO,Manhattan,Hell's Kitchen,Private room,85,188,23/06/2019
PERFECT FOR YOUR PARENTS + GARDEN,Brooklyn,South Slope,Private room,89,167,24/06/2019
CHELSEA PERFECT,Manhattan,Upper West Side,Private room,85,113,05/07/2019
CBG CTYBGD HELPSHAITI RM#1:1-4,Brooklyn,Williamsburg,Entire home/apt,140,148,29/06/2019
CBG HELPS HAITI ROOM#2.5,Brooklyn,Fort Greene,Entire home/apt,215,198,28/06/2019
CBG HELPS HAITI RM #2,Manhattan,Chelsea,Private room,140,260,01/07/2019
"MAISON DES SIRENES1,BOHEMIAN APARTMENT",Brooklyn,Crown Heights,Entire home/apt,99,53,22/06/2019
MIDTOWN PIED-A-TERRE,Brooklyn,Park Slope,Private room,130,130,01/07/2019
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Brooklyn,Park Slope,Private room,80,39,01/01/2019
MODERN 1 BR / NYC / EAST VILLAGE,Brooklyn,Park Slope,Private room,110,71,02/07/2019
FRONT ROOM/DOUBLE BED,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,88,19/06/2019
SPACIOUS 1 BEDROOM IN LUXE BUILDING,Brooklyn,Windsor Terrace,Private room,60,19,23/06/2019
LOFT IN WILLIAMSBURG AREA W/ ROOF,Manhattan,Hell's Kitchen,Entire home/apt,150,58,13/08/2017
BACK ROOM/BUNK BEDS,Manhattan,Inwood,Private room,44,108,15/06/2019
LARGE B&B STYLE ROOMS,Manhattan,East Village,Entire home/apt,180,29,19/04/2019
"LOVELY ROOM 2 & GARDEN; BEST AREA, LEGAL RENTAL",Manhattan,Harlem,Private room,50,242,01/06/2019
CUTE APT IN ARTIST'S HOME,Manhattan,Harlem,Private room,52,88,14/06/2019
LOWEREASTSIDE APT SHARE SHORTTERM 1,Brooklyn,Greenpoint,Private room,55,197,15/06/2019
ENJOY DOWNTOWN NYC!,Manhattan,Harlem,Private room,50,273,01/07/2019
BEAUTIFUL SUNNY PARK SLOPE BROOKLYN,Brooklyn,Bedford-Stuyvesant,Private room,70,74,12/05/2019
1BDR W PRIVATE BATH. IN LOFTY APT,Brooklyn,South Slope,Private room,89,168,21/06/2019
WEST SIDE RETREAT,Brooklyn,Bushwick,Entire home/apt,85,231,22/06/2019
BEST BET IN HARLEM,Manhattan,Lower East Side,Shared room,40,214,05/07/2019
ENTIRE APARTMENT IN CENTRAL BROOKLYN NEIGHBORHOOD.,Manhattan,East Village,Private room,68,245,21/06/2019
"1 STOP FR. MANHATTAN! PRIVATE SUITE,LANDMARK BLOCK",Brooklyn,South Slope,Entire home/apt,120,15,27/05/2019
CHARMING BROWNSTONE 3 - NEAR PRATT,Brooklyn,Fort Greene,Private room,120,25,30/09/2018
FORT GREENE BROWNSTONE ,Manhattan,Upper West Side,Private room,135,81,16/06/2019
BLUE ROOM FOR 2 IN BROWNSTONE FOR $1350 MONTHLY,Manhattan,Harlem,Entire home/apt,150,97,13/06/2019
COZY 1BD ON CENTRAL PARK WEST IN NEW YORK CITY,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,11,05/06/2019
* ORIGINAL BROOKLYN LOFT *,Queens,Long Island City,Private room,130,248,01/07/2019
GREENPOINT PLACE...HAS IT ALL! ,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,61,25/05/2019
WILLIAMSBURG 1 BEDROOM APARTMENT,Brooklyn,Fort Greene,Private room,80,135,17/06/2019
"GREAT LOCATION, MANHATTAN BEDROOM!",Brooklyn,Bedford-Stuyvesant,Private room,80,112,16/06/2019
BEST LOCATION IN NYC! TIMES SQUARE!,Manhattan,Upper West Side,Entire home/apt,151,73,07/07/2019
ROOM IN GREENPOINT LOFT W/ ROOF,Brooklyn,Williamsburg,Entire home/apt,228,82,17/05/2019
